Date,Close/Last,Open,High,Low
06/26/2025,20167.91,20062.19,20187.15,19982.48
06/25/2025,19973.55,20013.95,20052.78,19918.08
06/24/2025,19912.53,19809.61,19946.72,19795.29
06/23/2025,19630.97,19427.01,19643.70,19334.98
06/20/2025,19447.41,19639.41,19696.11,19380.58
06/18/2025,19546.27,19526.92,19660.77,19489.56
06/17/2025,19521.09,19627.08,19666.56,19485.44
06/16/2025,19701.21,19550.75,19733.31,19550.75
06/13/2025,19406.83,19450.92,19591.87,19367.42
06/12/2025,19662.48,19578.87,19690.61,19553.56
06/11/2025,19615.88,19779.35,19800.46,19551.34
06/10/2025,19714.99,19620.11,19730.38,19539.09
06/09/2025,19591.24,19573.14,19637.56,19531.10
06/06/2025,19529.95,19526.99,19593.18,19464.84
06/05/2025,19298.45,19518.20,19610.51,19226.22
06/04/2025,19460.49,19434.94,19493.45,19359.09
06/03/2025,19398.96,19288.66,19459.28,19224.70
06/02/2025,19242.61,19063.06,19252.71,18985.30
05/30/2025,19113.77,19131.22,19157.78,18847.74
05/29/2025,19175.87,19389.39,19389.39,19091.54
05/28/2025,19100.94,19232.62,19276.83,19084.38
05/27/2025,19199.16,19014.44,19210.95,18961.69
05/23/2025,18737.21,18622.38,18841.52,18599.69
05/22/2025,18925.73,18888.05,19061.11,18840.34
05/21/2025,18872.64,19002.94,19241.41,18799.20
05/20/2025,19142.71,19132.06,19186.68,19015.63
05/19/2025,19215.46,18937.42,19227.22,18937.42
05/16/2025,19211.10,19151.54,19213.42,19038.48
05/15/2025,19112.32,19031.24,19207.22,18967.78
05/14/2025,19146.81,19074.72,19174.55,19023.61
05/13/2025,19010.08,18761.23,19065.96,18745.50
05/12/2025,18708.34,18674.55,18710.22,18472.71
05/09/2025,17928.92,18022.55,18068.90,17853.84
05/08/2025,17928.14,17920.15,18096.00,17776.00
05/07/2025,17738.16,17706.83,17820.30,17503.01
05/06/2025,17689.66,17623.21,17830.35,17592.88
05/05/2025,17844.24,17817.01,17965.64,17792.08
05/02/2025,17977.73,17868.76,18048.83,17812.05
05/01/2025,17710.74,17793.14,17922.83,17688.10
04/30/2025,17446.34,17099.98,17483.82,16959.53
04/29/2025,17461.32,17270.76,17500.41,17256.20
04/28/2025,17366.13,17390.93,17467.35,17128.71
04/25/2025,17382.94,17182.11,17404.49,17110.72
04/24/2025,17166.04,16754.76,17174.35,16744.97
04/23/2025,16708.05,16880.29,17029.86,16642.66
04/22/2025,16300.42,16079.94,16410.56,16038.73
04/21/2025,15870.90,16052.76,16066.79,15685.33
04/17/2025,16286.45,16399.97,16408.51,16181.17
04/16/2025,16307.16,16499.69,16600.36,16066.46
04/15/2025,16823.17,16842.39,16979.96,16753.22
04/14/2025,16831.48,17120.44,17136.55,16661.26
04/11/2025,16724.46,16358.53,16753.41,16228.04
04/10/2025,16387.31,16635.45,16712.37,15894.26
04/09/2025,17124.97,15295.44,17202.94,15270.28
04/08/2025,15267.91,16181.04,16316.51,15053.39
04/07/2025,15603.26,14978.03,16292.28,14784.03
04/04/2025,15587.79,16045.60,16128.16,15575.68
04/03/2025,16550.61,16790.53,16889.34,16533.04
04/02/2025,17601.05,17207.01,17716.52,17181.27
04/01/2025,17449.89,17221.55,17506.58,17149.36
03/31/2025,17299.29,17045.44,17334.98,16854.37
03/28/2025,17322.99,17722.09,17763.28,17283.06
03/27/2025,17804.03,17811.24,17988.02,17743.80
03/26/2025,17899.01,18217.33,18236.55,17837.26
03/25/2025,18271.86,18207.97,18281.13,18170.42
03/24/2025,18188.59,18046.18,18210.05,18030.68
03/21/2025,17784.05,17519.84,17798.06,17474.81
03/20/2025,17691.63,17586.06,17903.20,17576.82
03/19/2025,17750.79,17590.12,17917.54,17533.94
03/18/2025,17504.12,17662.57,17682.92,17431.67
03/17/2025,17808.66,17722.55,17925.94,17645.87
03/14/2025,17754.09,17523.30,17773.48,17491.08
03/13/2025,17303.01,17598.56,17621.91,17239.44
03/12/2025,17648.45,17711.41,17800.10,17436.27
03/11/2025,17436.10,17443.09,17687.40,17238.24
03/10/2025,17468.32,17840.32,17868.07,17291.82
03/07/2025,18196.22,18029.85,18243.58,17768.59
03/06/2025,18069.26,18204.53,18439.24,17980.39
03/05/2025,18552.73,18312.97,18604.47,18144.73
03/04/2025,18285.16,18176.43,18589.49,17956.60
03/03/2025,18350.19,18923.36,18992.30,18216.63
02/28/2025,18847.28,18477.17,18861.33,18372.99
02/27/2025,18544.42,19212.36,19242.69,18535.22
02/26/2025,19075.26,19109.32,19286.02,18966.45
02/25/2025,19026.39,19242.61,19256.35,18871.52
02/24/2025,19286.92,19590.85,19644.23,19275.46
02/21/2025,19524.01,20006.69,20016.66,19510.91
02/20/2025,19962.36,20029.19,20041.15,19795.02
02/19/2025,20056.25,19994.50,20099.39,19928.89
02/18/2025,20041.26,20090.55,20110.11,19909.74
02/14/2025,20026.77,19956.82,20045.76,19932.15
02/13/2025,19945.64,19696.92,19952.17,19675.87
02/12/2025,19649.95,19436.51,19682.51,19415.48
02/11/2025,19643.86,19602.11,19731.93,19579.77
02/10/2025,19714.27,19668.18,19772.04,19650.79
02/07/2025,19523.40,19774.87,19862.55,19489.36
02/06/2025,19791.99,19725.83,19793.36,19654.11
02/05/2025,19692.33,19533.05,19696.94,19498.90
02/04/2025,19654.01,19422.17,19666.44,19408.18
02/03/2025,19391.96,19215.37,19502.13,19141.15
01/31/2025,19627.44,19832.33,19969.17,19575.21
01/30/2025,19681.75,19697.52,19785.79,19483.83
01/29/2025,19632.32,19695.68,19699.82,19479.51
01/28/2025,19733.59,19418.22,19759.43,19294.62
01/27/2025,19341.83,19234.04,19514.35,19204.95
01/24/2025,19954.30,20087.10,20118.61,19897.13
01/23/2025,20053.68,19906.99,20053.68,19892.55
01/22/2025,20009.34,19903.05,20068.52,19903.05
01/21/2025,19756.78,19734.39,19789.62,19551.17
01/17/2025,19630.20,19655.55,19709.64,19543.32
01/16/2025,19338.29,19573.87,19579.85,19335.68
01/15/2025,19511.23,19350.31,19548.90,19299.32
01/14/2025,19044.39,19207.75,19273.14,18926.60
01/13/2025,19088.10,18903.66,19099.97,18831.91
01/10/2025,19161.63,19312.26,19315.11,19018.75
01/08/2025,19478.88,19469.36,19544.50,19308.54
01/07/2025,19489.68,19938.08,19940.21,19421.02
01/06/2025,19864.98,19851.99,20007.95,19784.99
01/03/2025,19621.68,19395.51,19638.66,19379.57
01/02/2025,19280.79,19403.90,19517.87,19117.59
12/31/2024,19310.79,19551.36,19563.72,19283.41
12/30/2024,19486.78,19460.41,19622.93,19342.51
12/27/2024,19722.03,19896.77,19904.77,19553.40
12/26/2024,20020.36,19979.25,20070.08,19888.11
12/24/2024,20031.13,19818.48,20031.13,19813.76
12/23/2024,19764.89,19641.05,19772.09,19504.68
12/20/2024,19572.60,19190.04,19758.61,19168.38
12/19/2024,19372.77,19565.66,19623.02,19357.76
12/18/2024,19392.69,20114.98,20179.77,19336.59
12/17/2024,20109.06,20095.62,20148.83,20004.73
12/16/2024,20173.89,20016.12,20204.58,19988.12
12/13/2024,19926.72,19995.18,20061.65,19817.47
12/12/2024,19902.84,19947.34,20018.24,19897.38
12/11/2024,20034.89,19832.96,20055.93,19830.64
12/10/2024,19687.24,19796.39,19887.08,19641.34
12/09/2024,19736.69,19824.09,19872.79,19698.05
12/06/2024,19859.77,19743.96,19863.14,19734.42
12/05/2024,19700.72,19756.40,19790.03,19688.59
12/04/2024,19735.12,19587.48,19741.76,19575.40
12/03/2024,19480.91,19364.34,19486.15,19340.41
12/02/2024,19403.95,19255.42,19436.92,19255.42
11/29/2024,19218.17,19087.47,19245.49,19066.52
11/27/2024,19060.48,19132.99,19133.11,18937.20
11/26/2024,19175.58,19109.08,19184.40,19100.73
11/25/2024,19054.83,19140.59,19208.68,18969.35
11/22/2024,19003.65,18966.32,19025.77,18899.48
11/21/2024,18972.42,19072.78,19110.89,18714.06
11/20/2024,18966.14,18971.31,18974.91,18724.39
11/19/2024,18987.47,18699.70,18992.08,18689.83
11/18/2024,18791.81,18717.93,18865.28,18672.30
11/15/2024,18680.12,18929.92,18936.75,18598.87
11/14/2024,19107.65,19256.09,19275.80,19073.39
11/13/2024,19230.73,19286.46,19358.48,19191.13
11/12/2024,19281.40,19289.81,19343.05,19168.52
11/11/2024,19298.76,19355.34,19366.07,19193.29
11/08/2024,19286.78,19255.14,19318.56,19224.43
11/07/2024,19269.46,19084.43,19301.70,19084.43
11/06/2024,18983.47,18772.76,19000.50,18730.21
11/05/2024,18439.17,18250.71,18449.67,18250.71
11/04/2024,18179.98,18220.43,18308.30,18112.83
11/01/2024,18239.92,18189.67,18363.94,18181.53
10/31/2024,18095.15,18427.31,18427.31,18083.95
10/30/2024,18607.93,18731.69,18785.49,18598.24
10/29/2024,18712.75,18576.09,18753.19,18509.59
10/28/2024,18567.19,18648.25,18671.01,18563.02
10/25/2024,18518.61,18512.58,18690.01,18487.06
10/24/2024,18415.49,18384.15,18435.37,18305.42
10/23/2024,18276.65,18502.06,18509.19,18146.61
10/22/2024,18573.13,18451.86,18620.71,18413.47
10/21/2024,18540.00,18456.48,18543.58,18377.62
10/18/2024,18489.55,18466.00,18524.33,18452.58
10/17/2024,18373.61,18537.21,18541.46,18368.79
10/16/2024,18367.08,18333.29,18383.11,18214.96
10/15/2024,18315.59,18515.97,18564.25,18252.52
10/14/2024,18502.69,18426.66,18547.92,18423.60
10/11/2024,18342.94,18217.73,18375.53,18208.44
10/10/2024,18282.05,18200.62,18333.39,18154.18
10/09/2024,18291.62,18179.22,18302.05,18133.02
10/08/2024,18182.92,18017.93,18203.04,17989.70
10/07/2024,17923.90,18080.11,18096.33,17900.04
10/04/2024,18137.85,18130.42,18145.28,17952.30
10/03/2024,17918.48,17859.49,18011.25,17826.42
10/02/2024,17925.12,17867.12,17978.57,17767.79
10/01/2024,17910.36,18154.94,18162.72,17779.77
09/30/2024,18189.17,18069.83,18198.16,17997.56
09/27/2024,18119.59,18228.78,18238.28,18069.18
09/26/2024,18190.29,18327.34,18327.34,18071.74
09/25/2024,18082.21,18050.36,18155.03,18040.62
09/24/2024,18074.52,18046.44,18091.96,17863.38
09/23/2024,17974.27,17994.91,18021.58,17936.37
09/20/2024,17948.32,17999.35,18024.34,17835.64
09/19/2024,18013.98,17980.89,18099.93,17909.75
09/18/2024,17573.30,17663.38,17832.70,17556.42
09/17/2024,17628.06,17707.02,17781.74,17544.64
09/16/2024,17592.13,17573.70,17618.40,17480.66
09/13/2024,17683.98,17575.26,17719.14,17564.61
09/12/2024,17569.68,17413.89,17605.72,17338.32
09/11/2024,17395.53,17061.41,17420.23,16787.84
09/10/2024,17025.88,17025.49,17036.07,16801.13
09/09/2024,16884.60,16835.67,16923.28,16732.83
09/06/2024,16690.83,17137.62,17166.54,16668.57
09/05/2024,17127.66,17063.24,17295.58,17035.07
09/04/2024,17084.30,17015.71,17232.65,16984.67
09/03/2024,17136.30,17585.45,17585.45,17057.79
08/30/2024,17713.62,17650.49,17720.37,17498.79
08/29/2024,17516.43,17610.57,17789.21,17482.60
08/28/2024,17556.03,17738.80,17759.94,17439.40
08/27/2024,17754.82,17655.52,17789.72,17573.37
08/26/2024,17725.76,17867.85,17909.09,17645.69
08/23/2024,17877.79,17772.73,17941.27,17700.27
08/22/2024,17619.35,17993.72,18017.69,17589.15
08/21/2024,17918.99,17840.51,17963.07,17790.98
08/20/2024,17816.94,17849.09,17932.53,17758.20
08/19/2024,17876.77,17649.74,17877.44,17585.58
08/16/2024,17631.72,17516.40,17674.65,17502.82
08/15/2024,17594.50,17394.55,17602.72,17375.41
08/14/2024,17192.60,17227.64,17260.73,17032.17
08/13/2024,17187.61,16944.74,17192.79,16943.95
08/12/2024,16780.61,16793.64,16895.79,16699.39
08/09/2024,16745.30,16636.52,16789.22,16574.57
08/08/2024,16660.02,16408.27,16694.25,16262.93
08/07/2024,16195.81,16622.31,16709.81,16179.53
08/06/2024,16366.85,16261.36,16620.31,16137.65
08/05/2024,16200.08,15712.53,16453.46,15708.54
08/02/2024,16776.16,16780.45,16920.63,16582.79
08/01/2024,17194.15,17647.03,17791.58,17051.42
07/31/2024,17599.40,17499.23,17693.98,17438.60
07/30/2024,17147.42,17424.10,17468.56,17015.38
07/29/2024,17370.20,17444.39,17535.32,17299.83
07/26/2024,17357.88,17331.95,17454.57,17239.99
07/25/2024,17181.72,17352.64,17544.46,17033.96
07/24/2024,17342.41,17733.91,17747.06,17313.52
07/23/2024,17997.35,17982.74,18128.38,17968.10
07/22/2024,18007.57,17923.65,18040.99,17839.76
07/19/2024,17726.94,17835.59,17935.14,17691.43
07/18/2024,17871.22,18119.15,18130.87,17759.54
07/17/2024,17996.92,18188.19,18223.24,17972.87
07/16/2024,18509.34,18534.27,18576.83,18386.07
07/15/2024,18472.57,18485.91,18641.53,18397.83
07/12/2024,18398.45,18303.64,18556.73,18293.60
07/11/2024,18283.41,18659.25,18671.07,18238.78
07/10/2024,18647.45,18512.09,18655.19,18467.58
07/09/2024,18429.29,18465.02,18511.89,18381.60
07/08/2024,18403.74,18371.86,18416.94,18342.60
07/05/2024,18352.76,18200.60,18366.31,18197.14
07/03/2024,18188.30,18016.12,18188.30,18016.12
07/02/2024,18028.76,17808.04,18031.29,17802.24
07/01/2024,17879.30,17773.90,17894.28,17657.64
06/28/2024,17732.60,17891.10,18035.00,17723.83
06/27/2024,17858.68,17793.95,17892.78,17765.42
06/26/2024,17805.16,17697.26,17813.55,17687.07
06/25/2024,17717.65,17572.16,17734.34,17546.63
06/24/2024,17496.82,17640.26,17730.12,17494.02
06/21/2024,17689.36,17681.01,17787.34,17620.57
06/20/2024,17721.59,17913.94,17936.79,17650.69
06/18/2024,17862.23,17856.76,17890.52,17796.88
06/17/2024,17857.02,17697.30,17935.99,17636.36
06/14/2024,17688.88,17621.18,17693.43,17590.80
06/13/2024,17667.56,17715.26,17741.80,17566.32
06/12/2024,17608.44,17502.15,17725.39,17490.64
06/11/2024,17343.55,17160.42,17345.05,17107.99
06/10/2024,17192.53,17083.45,17213.45,17057.34
06/07/2024,17133.13,17124.14,17229.31,17090.04
06/06/2024,17173.12,17204.87,17235.73,17123.59
06/05/2024,17187.90,16974.48,17187.92,16955.56
06/04/2024,16857.05,16823.88,16891.87,16750.39
06/03/2024,16828.67,16865.70,16909.89,16646.43
05/31/2024,16735.02,16771.90,16789.27,16445.54
05/30/2024,16737.08,16878.63,16900.46,16690.36
05/29/2024,16920.58,16879.35,16989.60,16873.97
05/28/2024,17019.88,16988.31,17032.66,16917.51
05/24/2024,16920.79,16786.79,16947.80,16771.58
05/23/2024,16736.03,16996.39,16996.39,16678.37
05/22/2024,16801.54,16839.02,16855.27,16712.09
05/21/2024,16832.62,16736.10,16839.02,16719.97
05/20/2024,16794.87,16702.02,16823.83,16695.69
05/17/2024,16685.97,16708.49,16726.41,16613.84
05/16/2024,16698.32,16738.11,16797.83,16693.45
05/15/2024,16742.39,16601.14,16749.74,16544.09
05/14/2024,16511.18,16391.16,16526.27,16386.43
05/13/2024,16388.24,16400.31,16407.05,16334.86
05/10/2024,16340.87,16389.02,16437.39,16293.52
05/09/2024,16346.26,16323.74,16362.79,16241.98
05/08/2024,16302.76,16226.07,16341.65,16226.07
05/07/2024,16332.56,16358.34,16397.39,16303.84
05/06/2024,16349.25,16208.54,16350.08,16197.86
05/03/2024,16156.33,16147.48,16204.71,16068.34
05/02/2024,15840.96,15758.11,15862.79,15604.73
05/01/2024,15605.48,15646.09,15926.22,15557.64
04/30/2024,15657.82,15920.89,15979.36,15655.67
04/29/2024,15983.08,16007.00,16021.49,15885.89
04/26/2024,15927.90,15821.34,15981.00,15770.72
04/25/2024,15611.76,15375.26,15644.51,15343.91
04/24/2024,15712.75,15805.60,15839.00,15634.44
04/23/2024,15696.64,15525.55,15730.35,15510.58
04/22/2024,15451.31,15396.13,15539.00,15265.66
04/19/2024,15282.01,15547.10,15576.70,15222.78
04/18/2024,15601.50,15705.69,15786.12,15587.50
04/17/2024,15683.37,15942.29,15957.03,15654.51
04/16/2024,15865.25,15856.38,15965.79,15822.02
04/15/2024,15885.02,16276.47,16295.27,15863.88
04/12/2024,16175.09,16293.03,16341.45,16125.33
04/11/2024,16442.20,16236.20,16464.60,16154.65
04/10/2024,16170.36,16104.01,16200.10,16092.02
04/09/2024,16306.64,16328.76,16348.18,16141.15
04/08/2024,16253.96,16285.18,16323.60,16220.72
04/05/2024,16248.52,16095.40,16326.50,16080.48
04/04/2024,16049.08,16418.57,16468.04,16046.56
04/03/2024,16277.46,16178.80,16340.74,16169.31
04/02/2024,16240.45,16199.24,16251.41,16137.24
04/01/2024,16396.83,16397.05,16490.65,16327.89
03/28/2024,16379.46,16377.23,16420.92,16347.38
03/27/2024,16399.52,16424.76,16431.82,16279.17
03/26/2024,16315.70,16446.85,16476.38,16312.95
03/25/2024,16384.47,16335.30,16441.17,16315.72
03/22/2024,16428.82,16387.83,16467.62,16361.00
03/21/2024,16401.84,16517.24,16538.86,16393.90
03/20/2024,16369.41,16185.76,16377.44,16127.48
03/19/2024,16166.79,16031.93,16175.59,15951.86
03/18/2024,16103.45,16154.92,16247.59,16094.17
03/15/2024,15973.17,16043.58,16055.33,15925.91
03/14/2024,16128.53,16209.19,16245.32,16039.68
03/13/2024,16177.77,16220.11,16233.30,16143.34
03/12/2024,16265.64,16116.98,16275.45,15992.98
03/11/2024,16019.27,16052.63,16085.95,15978.04
03/08/2024,16085.11,16322.10,16449.70,16059.50
03/07/2024,16273.38,16147.32,16309.02,16096.01
03/06/2024,16031.54,16092.00,16128.56,15956.66
03/05/2024,15939.59,16077.74,16087.56,15862.63
03/04/2024,16207.51,16264.21,16289.06,16199.06
03/01/2024,16274.94,16109.83,16302.24,16096.60
02/29/2024,16091.92,16059.34,16115.96,15931.70
02/28/2024,15947.74,15969.14,16003.56,15924.72
02/27/2024,16035.30,16013.98,16046.10,15940.51
02/26/2024,15976.25,16014.45,16054.90,15973.90
02/23/2024,15996.82,16094.80,16134.22,15954.50
02/22/2024,16041.62,15904.48,16061.82,15869.24
02/21/2024,15580.87,15532.12,15583.68,15451.65
02/20/2024,15630.78,15679.84,15730.47,15508.50
02/16/2024,15775.65,15910.43,15917.41,15752.02
02/15/2024,15906.17,15865.30,15911.22,15779.72
02/14/2024,15859.15,15781.71,15865.51,15683.94
02/13/2024,15655.60,15598.88,15770.42,15551.44
02/12/2024,15942.55,15980.62,16080.07,15917.87
02/09/2024,15990.66,15842.38,16007.29,15831.76
02/08/2024,15793.71,15762.23,15813.27,15739.18
02/07/2024,15756.64,15690.35,15770.68,15645.81
02/06/2024,15609.00,15638.19,15652.75,15515.25
02/05/2024,15597.68,15613.99,15637.88,15471.68
02/02/2024,15628.95,15403.16,15664.21,15366.78
02/01/2024,15361.64,15254.02,15372.13,15208.88
01/31/2024,15164.01,15324.19,15405.55,15158.49
01/30/2024,15509.90,15628.04,15619.23,15484.67
01/29/2024,15628.04,15470.66,15630.58,15449.87
01/26/2024,15455.36,15474.85,15538.84,15433.04
01/25/2024,15510.50,15555.62,15597.25,15430.68
01/24/2024,15481.92,15560.61,15629.07,15468.91
01/23/2024,15425.94,15391.41,15432.35,15337.23
01/22/2024,15360.29,15393.05,15438.85,15333.63
01/19/2024,15310.97,15122.38,15310.97,15087.20
01/18/2024,15055.65,14994.52,15066.81,14911.11
01/17/2024,14855.62,14814.77,14865.76,14706.23
01/16/2024,14944.35,14908.26,15004.35,14863.81
01/12/2024,14972.76,15001.01,15047.25,14931.88
01/11/2024,14970.18,15020.95,15063.61,14800.38
01/10/2024,14969.65,14877.70,14998.20,14842.70
01/09/2024,14857.71,14744.13,14894.32,14716.71
01/08/2024,14843.77,14564.47,14846.90,14560.20
01/05/2024,14524.07,14500.11,14625.19,14477.57
01/04/2024,14510.30,14532.23,14632.77,14504.78
01/03/2024,14592.21,14641.47,14694.58,14577.44
01/02/2024,14765.94,14873.70,14887.80,14682.38
12/29/2023,15011.35,15099.20,15111.41,14955.37
12/28/2023,15095.14,15142.09,15150.07,15087.22
12/27/2023,15099.18,15089.66,15114.08,15051.67
12/26/2023,15074.57,15028.69,15101.18,15024.06
12/22/2023,14992.97,15006.18,15047.19,14927.12
12/21/2023,14963.87,14923.14,14970.81,14837.47
12/20/2023,14777.94,14973.36,15069.29,14776.29
12/19/2023,15003.22,14923.02,15003.80,14921.60
12/18/2023,14905.19,14814.02,14938.04,14811.82
12/15/2023,14813.92,14797.46,14848.40,14753.15
12/14/2023,14761.56,14798.72,14855.62,14642.23
12/13/2023,14733.96,14555.68,14743.55,14517.52
12/12/2023,14533.40,14423.01,14533.40,14385.39
12/11/2023,14432.49,14340.13,14436.08,14324.57
12/08/2023,14403.97,14279.46,14416.92,14264.96
12/07/2023,14339.99,14230.43,14353.11,14220.87
12/06/2023,14146.71,14325.62,14327.63,14138.51
12/05/2023,14229.91,14126.40,14285.66,14121.76
12/04/2023,14185.49,14168.66,14197.52,14058.52
12/01/2023,14305.03,14181.35,14311.95,14135.00
11/30/2023,14226.22,14265.05,14289.20,14127.05
11/29/2023,14258.49,14367.11,14423.22,14247.89
11/28/2023,14281.76,14224.63,14303.65,14195.72
11/27/2023,14241.02,14239.31,14305.71,14205.24
11/24/2023,14250.85,14238.03,14270.28,14214.13
11/22/2023,14265.86,14283.82,14359.61,14226.63
11/21/2023,14199.98,14217.23,14237.50,14146.31
11/20/2023,14284.53,14134.75,14309.80,14134.20
11/17/2023,14125.48,14101.44,14154.32,14063.93
11/16/2023,14113.67,14066.88,14130.45,14033.79
11/15/2023,14103.84,14147.27,14194.36,14060.70
11/14/2023,14094.38,14015.37,14124.06,14003.14
11/13/2023,13767.74,13745.96,13805.11,13687.78
11/10/2023,13798.11,13571.19,13802.53,13556.35
11/09/2023,13521.45,13693.70,13697.82,13506.02
11/08/2023,13650.41,13660.22,13684.87,13573.58
11/07/2023,13639.86,13555.79,13675.46,13516.56
11/06/2023,13518.78,13514.08,13551.62,13435.99
11/03/2023,13478.28,13362.85,13520.28,13344.73
11/02/2023,13294.19,13230.49,13302.18,13177.64
11/01/2023,13061.47,12887.06,13072.42,12875.20
10/31/2023,12851.24,12786.62,12859.40,12697.04
10/30/2023,12789.48,12750.47,12842.96,12691.56
10/27/2023,12643.01,12718.69,12772.43,12600.57
10/26/2023,12595.61,12768.97,12818.14,12543.86
10/25/2023,12821.22,13039.86,13042.52,12804.30
10/24/2023,13139.87,13084.99,13170.39,13022.85
10/23/2023,13018.33,12930.85,13143.22,12848.83
10/20/2023,12983.81,13157.77,13177.35,12977.43
10/19/2023,13186.18,13354.80,13404.73,13157.33
10/18/2023,13314.30,13439.68,13499.74,13275.30
10/17/2023,13533.75,13419.87,13602.25,13364.74
10/16/2023,13567.98,13453.81,13598.05,13447.17
10/13/2023,13407.23,13613.59,13619.54,13361.85
10/12/2023,13574.22,13672.47,13714.14,13491.56
10/11/2023,13659.68,13619.21,13671.11,13549.29
10/10/2023,13562.84,13505.81,13659.63,13491.81
10/09/2023,13484.24,13326.22,13509.30,13277.48
10/06/2023,13431.34,13127.68,13472.27,13099.03
10/05/2023,13219.83,13228.12,13251.18,13087.57
10/04/2023,13236.01,13092.92,13258.76,13072.51
10/03/2023,13059.47,13229.68,13280.04,13008.60
10/02/2023,13307.77,13217.98,13364.03,13204.08
09/29/2023,13219.32,13337.71,13382.98,13177.09
09/28/2023,13201.28,13043.37,13270.97,13025.11
09/27/2023,13092.85,13115.36,13156.37,12963.16
09/26/2023,13063.61,13180.96,13199.13,13033.40
09/25/2023,13271.32,13172.54,13277.83,13132.00
