date,close,open,high,low
2023-03-13,11188.84,11041.46,11326.73,10982.80
2023-03-14,11428.15,11357.73,11467.02,11284.93
2023-03-15,11434.05,11397.35,11447.90,11238.44
2023-03-16,11717.28,11384.87,11733.80,11365.49
2023-03-17,11630.51,11696.34,11773.11,11562.63
2023-03-20,11675.54,11614.39,11695.55,11550.69
2023-03-21,11860.11,11764.79,11879.16,11724.91
2023-03-22,11669.96,11857.50,12013.99,11666.85
2023-03-23,11787.40,11811.32,11962.69,11684.52
2023-03-24,11823.96,11747.62,11826.23,11670.67
2023-03-27,11768.84,11868.54,11903.21,11739.05
2023-03-28,11716.08,11752.76,11752.76,11635.03
2023-03-29,11926.24,11855.59,11941.60,11823.35
2023-03-30,12013.47,12010.45,12044.79,11953.37
2023-03-31,12221.91,12031.54,12227.93,12030.44
2023-04-03,12189.45,12146.09,12196.34,12086.52
2023-04-04,12126.33,12208.49,12224.68,12081.81
2023-04-05,11996.86,12081.76,12086.75,11931.85
2023-04-06,12087.96,11939.08,12098.50,11898.36
2023-04-10,12084.35,11975.13,12084.95,11924.20
2023-04-11,12031.88,12080.24,12091.27,12011.40
2023-04-12,11929.34,12110.87,12134.50,11916.54
2023-04-13,12166.27,11997.42,12178.80,11995.94
2023-04-14,12123.47,12117.91,12205.72,12026.55
2023-04-17,12157.72,12108.23,12159.02,12064.10
2023-04-18,12153.41,12234.56,12245.43,12110.23
2023-04-19,12157.23,12063.68,12191.10,12060.17
2023-04-20,12059.56,12039.08,12155.96,12011.95
2023-04-21,12072.46,12046.03,12097.15,11986.82
2023-04-24,12037.20,12053.47,12103.58,11960.30
2023-04-25,11799.16,11968.81,11990.46,11798.77
2023-04-26,11854.35,11913.23,11967.99,11833.07
2023-04-27,12142.24,11972.15,12154.01,11950.92
2023-04-28,12226.58,12117.54,12227.72,12082.57
2023-05-01,12212.60,12210.05,12261.32,12181.08
2023-05-02,12080.51,12198.02,12206.58,12015.23
2023-05-03,12025.33,12097.04,12212.55,12022.46
2023-05-04,11966.40,11997.34,12033.15,11925.37
2023-05-05,12235.41,12073.03,12264.83,12065.72
2023-05-08,12256.92,12231.68,12264.99,12178.26
2023-05-09,12179.55,12195.78,12216.13,12174.06
2023-05-10,12306.44,12286.66,12337.69,12180.86
2023-05-11,12328.51,12321.26,12347.38,12255.44
2023-05-12,12284.74,12350.52,12364.65,12209.58
2023-05-15,12365.21,12367.69,12376.40,12263.35
2023-05-16,12343.05,12327.05,12403.81,12324.52
2023-05-17,12500.57,12388.58,12514.07,12335.02
2023-05-18,12688.84,12513.87,12698.50,12512.26
2023-05-19,12657.90,12709.46,12731.73,12624.06
2023-05-22,12720.78,12664.44,12756.22,12655.26
2023-05-23,12560.25,12652.88,12709.74,12554.43
2023-05-24,12484.16,12481.89,12529.63,12415.85
2023-05-25,12698.09,12706.44,12736.92,12604.89
2023-05-26,12975.69,12736.42,13001.91,12729.74
2023-05-30,13017.43,13109.10,13154.29,12968.12
2023-05-31,12935.29,12968.38,13029.08,12889.37
2023-06-01,13100.98,12944.46,13141.83,12903.63
2023-06-02,13240.77,13190.48,13256.21,13125.86
2023-06-05,13229.43,13238.48,13330.65,13194.95
2023-06-06,13276.42,13199.59,13306.21,13165.65
2023-06-07,13104.89,13295.26,13361.90,13089.48
2023-06-08,13238.52,13113.27,13248.60,13101.18
2023-06-09,13259.14,13312.39,13385.95,13229.33
2023-06-12,13461.92,13326.37,13465.91,13302.58
2023-06-13,13573.32,13566.52,13594.40,13473.19
2023-06-14,13626.48,13570.56,13661.74,13455.99
2023-06-15,13782.82,13572.88,13828.17,13561.37
2023-06-16,13689.57,13859.07,13864.06,13680.95
2023-06-20,13667.29,13642.29,13711.18,13561.84
2023-06-21,13502.20,13620.87,13638.57,13460.94
2023-06-22,13630.61,13443.41,13631.85,13441.56
2023-06-23,13492.52,13484.10,13572.19,13442.65
2023-06-26,13335.78,13468.74,13573.57,13334.42
2023-06-27,13555.67,13389.25,13578.80,13366.97
2023-06-28,13591.75,13506.02,13654.14,13495.73
2023-06-29,13591.33,13592.36,13618.53,13540.26
2023-06-30,13787.92,13719.98,13816.68,13716.16
2023-07-03,13816.77,13798.70,13839.09,13773.41
2023-07-05,13791.65,13772.10,13844.50,13764.25
2023-07-06,13679.04,13653.17,13689.52,13567.25
2023-07-07,13660.72,13668.07,13804.51,13656.73
2023-07-10,13685.48,13645.37,13692.41,13584.87
2023-07-11,13760.70,13709.81,13774.83,13643.32
2023-07-12,13918.96,13915.64,13963.45,13842.13
2023-07-13,14138.57,14021.15,14163.80,14012.24
2023-07-14,14113.70,14166.66,14232.11,14081.96
2023-07-17,14244.95,14149.92,14274.41,14138.01
2023-07-18,14353.64,14212.25,14396.69,14176.11
2023-07-19,14358.02,14398.53,14446.55,14317.09
2023-07-20,14063.31,14273.29,14309.92,14030.62
2023-07-21,14032.81,14148.18,14179.01,14020.45
2023-07-24,14058.87,14081.63,14110.15,13997.13
2023-07-25,14144.56,14093.24,14201.91,14092.52
2023-07-26,14127.28,14123.52,14187.35,14041.95
2023-07-27,14050.11,14319.16,14360.20,14006.92
2023-07-28,14316.66,14199.83,14344.35,14188.10
2023-07-31,14346.02,14337.90,14370.91,14292.75
2023-08-01,14283.91,14274.93,14309.21,14215.64
2023-08-02,13973.45,14132.73,14133.85,13914.81
2023-08-03,13959.72,13899.76,14032.28,13881.35
2023-08-04,13909.24,14105.16,14119.22,13897.93
2023-08-07,13994.40,13972.45,13997.15,13864.92
2023-08-08,13884.32,13875.45,13899.74,13769.34
2023-08-09,13722.02,13897.61,13898.54,13698.39
2023-08-10,13737.99,13818.25,13947.16,13686.51
2023-08-11,13644.85,13653.46,13720.33,13609.98
2023-08-14,13788.33,13599.00,13789.16,13582.49
2023-08-15,13631.05,13760.48,13774.98,13611.93
2023-08-16,13474.63,13593.17,13644.32,13473.03
2023-08-17,13316.93,13527.30,13535.09,13303.45
2023-08-18,13290.78,13190.02,13335.87,13161.76
2023-08-21,13497.59,13347.26,13516.86,13325.59
2023-08-22,13505.87,13593.95,13598.77,13484.38
2023-08-23,13721.03,13532.43,13757.00,13532.43
