ticker,date,open,high,low,close
SYRUP,2023-02-09,7.4,7.66,6.85,6.86
SYRUP,2023-02-10,6.89,7.03,5.19,6.2
SYRUP,2023-02-11,6.19,6.33,5.83,5.99
SYRUP,2023-02-12,5.99,6.13,5.75,5.8
SYRUP,2023-02-13,5.8,5.82,5.1,5.32
SYRUP,2023-02-14,5.39069,5.87505,5.28786,5.73
SYRUP,2023-02-15,5.54,5.74161,5.38,5.58
SYRUP,2023-02-16,5.59,6.94,5.54,5.9
SYRUP,2023-02-17,5.75,6.0,5.62,5.73
SYRUP,2023-02-18,5.72,5.89018,5.57,5.77598
SYRUP,2023-02-19,5.75386,5.95795,5.53127,5.57828
SYRUP,2023-02-20,5.61,5.67,5.42,5.54933
SYRUP,2023-02-21,5.5275,5.79793,5.12921,5.23589
SYRUP,2023-02-22,5.25189,5.4462,5.06546,5.12315
SYRUP,2023-02-23,4.97755,5.44234,4.97755,5.3601
SYRUP,2023-02-24,5.40851,5.5086,5.1026,5.29265
SYRUP,2023-02-25,5.29831,5.69334,5.0264,5.14946
SYRUP,2023-02-26,5.18471,5.34988,5.11156,5.23532
SYRUP,2023-02-27,5.23587,5.35926,4.71229,4.77044
SYRUP,2023-02-28,4.81394,4.89005,4.0179,4.7504
SYRUP,2023-03-01,4.7537,5.25145,4.42598,5.10227
SYRUP,2023-03-02,5.06126,5.11617,4.60068,4.97505
SYRUP,2023-03-03,4.96585,5.0291,4.24611,4.53342
SYRUP,2023-03-04,4.54641,4.74664,4.00488,4.60392
SYRUP,2023-03-05,4.60492,5.69391,4.4218,4.60411
SYRUP,2023-03-06,4.61145,5.04025,4.40265,4.9963
SYRUP,2023-03-07,4.99025,5.13219,4.65385,4.90845
SYRUP,2023-03-08,4.90815,5.08999,4.79777,5.0607
SYRUP,2023-03-09,5.05499,5.05499,4.52082,4.56901
SYRUP,2023-03-10,4.55532,4.78965,4.23512,4.46055
SYRUP,2023-03-11,4.44211,4.57443,3.92562,4.19762
SYRUP,2023-03-12,4.21782,4.57347,4.00079,4.50447
SYRUP,2023-03-13,4.55732,4.98768,4.53089,4.96911
SYRUP,2023-03-14,4.95364,5.94292,4.86622,5.42313
SYRUP,2023-03-15,5.45514,6.06726,5.17585,5.26972
SYRUP,2023-03-16,5.26624,5.42526,4.92221,5.2168
SYRUP,2023-03-17,5.21616,5.79964,5.14655,5.28882
SYRUP,2023-03-18,5.2808,5.42054,5.00573,5.17487
SYRUP,2023-03-19,5.16038,5.24289,4.9069,5.22917
SYRUP,2023-03-20,5.14835,5.14835,4.66887,4.76624
SYRUP,2023-03-21,4.79042,4.79143,4.21231,4.51313
SYRUP,2023-03-22,4.51139,4.71813,4.48,4.58143
SYRUP,2023-03-23,4.58179,4.93799,4.52797,4.91168
SYRUP,2023-03-24,4.91821,5.0054,4.62993,4.94688
SYRUP,2023-03-25,4.92046,4.95751,4.75165,4.92267
SYRUP,2023-03-26,4.88373,5.18287,4.74822,4.99449
SYRUP,2023-03-27,4.94581,5.53387,4.78482,4.85968
SYRUP,2023-03-28,4.80226,4.89105,4.10098,4.30564
SYRUP,2023-03-29,4.33269,4.73647,4.25866,4.54659
SYRUP,2023-03-30,4.45585,4.59619,4.10878,4.22814
SYRUP,2023-03-31,4.21714,4.29382,4.05254,4.21205
SYRUP,2023-04-01,4.23961,4.53126,4.22931,4.40663
SYRUP,2023-04-02,4.42982,4.46888,4.33651,4.34574
SYRUP,2023-04-03,4.33808,4.42873,4.21206,4.3126
SYRUP,2023-04-04,4.15845,4.32081,4.10386,4.26913
SYRUP,2023-04-05,4.28646,4.60379,4.18367,4.27658
SYRUP,2023-04-06,4.32508,4.32508,4.10909,4.24921
SYRUP,2023-04-07,4.22002,4.3871,4.19922,4.24214
SYRUP,2023-04-08,4.27212,4.38224,4.10221,4.21068
SYRUP,2023-04-09,4.24951,4.31589,4.00448,4.22053
SYRUP,2023-04-10,4.21086,4.60095,4.20265,4.41457
SYRUP,2023-04-11,4.42358,5.86191,4.28142,5.54448
SYRUP,2023-04-12,5.48,5.51346,4.87,5.1164
SYRUP,2023-04-13,4.98323,5.22569,4.56888,4.65146
SYRUP,2023-04-14,4.6394,4.96016,4.4924,4.96016
SYRUP,2023-04-15,5.13403,5.17545,4.82372,4.90036
SYRUP,2023-04-16,4.88935,4.94239,4.64099,4.84029
SYRUP,2023-04-17,4.83062,5.008,4.7497,4.88393
SYRUP,2023-04-18,4.90204,4.98354,4.86843,4.98095
SYRUP,2023-04-19,4.97084,4.99825,4.92084,4.94052
SYRUP,2023-04-20,4.94503,4.94651,4.68212,4.74747
SYRUP,2023-04-21,4.74424,6.63574,4.55118,5.90841
SYRUP,2023-04-22,5.90941,6.81502,5.10025,5.21347
SYRUP,2023-04-23,5.2,5.75,5.1,5.61
SYRUP,2023-04-24,5.58,6.74,5.46,5.62
SYRUP,2023-04-25,5.71,7.05,5.51,6.76
SYRUP,2023-04-26,6.79,7.5,6.58,6.98
SYRUP,2023-04-27,7.02,8.33,6.8,7.91
SYRUP,2023-04-28,7.97855,8.37,7.3,7.45
SYRUP,2023-04-29,7.44,7.81,6.94,7.1222
SYRUP,2023-04-30,7.48141,7.63813,6.87139,7.10998
SYRUP,2023-05-01,7.13085,7.13085,6.16143,6.24168
SYRUP,2023-05-02,6.24562,6.53685,6.15842,6.50196
SYRUP,2023-05-03,6.50897,6.81652,6.09177,6.41573
SYRUP,2023-05-04,6.38347,6.45613,5.69711,5.83916
SYRUP,2023-05-05,5.81115,6.30073,5.52421,6.22266
SYRUP,2023-05-06,6.1987,6.46032,5.92034,6.21786
SYRUP,2023-05-07,6.22888,6.22888,5.64544,5.75178
SYRUP,2023-05-08,5.77581,5.90826,5.15561,5.25156
SYRUP,2023-05-09,5.22286,5.73576,4.98097,5.27026
SYRUP,2023-05-10,5.28438,5.7373,5.10465,5.29076
SYRUP,2023-05-11,5.27227,5.63163,5.03403,5.1011
SYRUP,2023-05-12,5.03203,5.2307,5.003,5.11209
SYRUP,2023-05-13,5.09356,5.4087,5.07804,5.26015
SYRUP,2023-05-14,5.27364,5.47929,5.2016,5.37969
SYRUP,2023-05-15,5.38423,5.87552,5.37369,5.80006
SYRUP,2023-05-16,5.77648,6.22911,5.55422,6.02001
SYRUP,2023-05-17,6.04442,6.30015,5.91195,6.03041
SYRUP,2023-05-18,6.06042,6.15946,5.92837,5.97239
SYRUP,2023-05-19,5.93478,6.50195,5.678,6.44587
SYRUP,2023-05-20,6.45423,6.50325,6.03082,6.23423
SYRUP,2023-05-21,6.18957,6.47088,6.14907,6.27176
SYRUP,2023-05-22,6.20872,6.62998,6.03462,6.58929
SYRUP,2023-05-23,6.58686,6.96977,6.41009,6.7084
SYRUP,2023-05-24,6.68854,7.58768,6.47526,7.04758
SYRUP,2023-05-25,7.06558,7.35263,6.82693,6.99414
SYRUP,2023-05-26,6.98914,7.16179,6.51447,6.53331
SYRUP,2023-05-27,6.53624,6.69268,6.51402,6.63265
SYRUP,2023-05-28,6.652,6.74496,6.62065,6.70554
SYRUP,2023-05-29,6.73155,6.74301,6.51989,6.668
SYRUP,2023-05-30,6.663,6.68261,6.45348,6.45752
SYRUP,2023-05-31,6.45652,6.51928,6.45177,6.51724
SYRUP,2023-06-01,6.45629,6.5185,6.29269,6.33777
SYRUP,2023-06-02,6.30777,6.36265,5.95155,6.06758
SYRUP,2023-06-03,6.06976,6.15822,6.04845,6.15346
SYRUP,2023-06-04,6.15528,6.35103,6.04833,6.245
SYRUP,2023-06-05,6.237,6.29795,6.08734,6.15278
SYRUP,2023-06-06,6.13878,6.18979,6.0115,6.10953
SYRUP,2023-06-07,6.14972,6.16873,5.94894,5.95282
SYRUP,2023-06-08,5.9536,5.96173,5.9487,5.95307
SYRUP,2023-06-09,5.95313,5.96119,5.94722,5.95081
SYRUP,2023-06-10,5.94799,5.9615,5.3334,5.61626
SYRUP,2023-06-11,5.57929,5.85299,5.56973,5.76731
SYRUP,2023-06-12,5.81332,5.81332,5.749,5.79306
SYRUP,2023-06-13,5.78358,5.81077,5.67238,5.6862
SYRUP,2023-06-14,5.69143,5.71309,5.55617,5.66249
